Identifiant borne;Nom de la station;Type de connecteur;Statut de disponibilité;Présence câble attaché;Numéro de la voie;Ouverture au service commercial;Nom du réseau de charge;Propriétaire des bornes;Intitulé de la voie;Code postal;Ville;Pays;Coordonnées géographiques
FR*V75*EBELI*72*1*1;RUE DE L'AMIRAL MOUCHEZ;Combo;Disponible;Oui;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*4*1*1;AVENUE VICTOR HUGO;T3;Neutralisé;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*72*1*1;RUE DE L'AMIRAL MOUCHEZ;CHAdeMO;Disponible;Oui;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*72*1*1;RUE DE L'AMIRAL MOUCHEZ;T2;Disponible;Non;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*4*1*1;AVENUE VICTOR HUGO;E/F;Neutralisé;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*72*1*1;RUE DE L'AMIRAL MOUCHEZ;T3;Disponible;Non;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*4*1*1;AVENUE VICTOR HUGO;Combo;Neutralisé;Oui;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*72*1*2;RUE DE L'AMIRAL MOUCHEZ;E/F;Disponible;Non;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*4*1*2;AVENUE VICTOR HUGO;E/F;Occupé;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*72*1*3;RUE DE L'AMIRAL MOUCHEZ;T3;Disponible;Non;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*71*1*1;234 RUE DE TOLBIAC;T3;Disponible;Non;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*4*1*1;AVENUE VICTOR HUGO;CHAdeMO;Neutralisé;Oui;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*4*1*1;AVENUE VICTOR HUGO;T2;Neutralisé;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*71*1*1;234 RUE DE TOLBIAC;E/F;Disponible;Non;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*71*1*3;234 RUE DE TOLBIAC;Combo;Disponible;Oui;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*71*1*1;234 RUE DE TOLBIAC;Combo;Disponible;Oui;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*71*1*3;234 RUE DE TOLBIAC;T2;Disponible;Non;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*71*1*1;234 RUE DE TOLBIAC;CHAdeMO;Disponible;Oui;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*46*1*3;COURS DE VINCENNES;Combo;Disponible;Oui;66;Oui;BELIB;;COURS DE VINCENNES;75012;Paris;France;48.847485,2.401736
FR*V75*EBELI*71*1*1;234 RUE DE TOLBIAC;T2;Disponible;Non;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*46*1*3;COURS DE VINCENNES;T2;Disponible;Non;66;Oui;BELIB;;COURS DE VINCENNES;75012;Paris;France;48.847485,2.401736
